pearson
,beds,baths,sq__ft,price
beds,1.0,0.8369783822648391,0.6784880413168197,0.35355926933316656
baths,0.8369783822648391,1.0,0.6615615217444369,0.4115597810361944
sq__ft,0.6784880413168197,0.6615615217444369,1.0,0.362193615891145
price,0.35355926933316656,0.4115597810361944,0.362193615891145,1.0

spearman
,beds,baths,sq__ft,price
beds,1.0,0.7605585000380637,0.6755774441374364,0.3909649478908209
baths,0.7605585000380637,1.0,0.6510768878264713,0.42906721927527625
sq__ft,0.6755774441374364,0.6510768878264713,1.0,0.41785143405762004
price,0.3909649478908209,0.42906721927527625,0.41785143405762004,1.0

kendall
,beds,baths,sq__ft,price
beds,0.9999999999999997,0.7090989227193853,0.5862820536140988,0.3150705651527596
baths,0.7090989227193853,0.9999999999999998,0.5668202853870957,0.3549674281217218
sq__ft,0.5862820536140988,0.5668202853870957,1.0000000000000007,0.3404189323076212
price,0.3150705651527596,0.3549674281217218,0.3404189323076212,0.9999999999999997

