fuel_aer_NG,fuel_aer_DFO,fuel_aer_HYC,fuel_aer_SUN,fuel_aer_WND,fuel_aer_COL,fuel_aer_MLG,fuel_aer_NUC,mover_CT,mover_GT,mover_HY,mover_IC,mover_PV,mover_ST,mover_WT,state_CA,state_TX,state_NY,state_FL,state_MN,state_MI,state_NC,state_PA,state_MA,state_WI,state_NJ,state_IA,state_IL,state_OH,state_GA,state_WA,total_fuel_cons,total_fuel_cons_mmbtu,p_0,p_1,p_2,p_3,p_4,net_generation_MWh
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000159629246527349,1.5309302465923238,-1.483527624113413,-0.8904503518966382,0.5947323503826543,-1.065401652786017,0.00016090815159413053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4735180165429818,-0.5056966168603251,-0.05689270178181951,0.38106714662520963,-1.6164803024625338,-0.7946241093194,0.4476221515408399
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024221900346363345,0.3679051640779898,-0.6122195229139206,-0.049947073105789414,0.38542492265184003,-2.06775140322587,-1.2076471153297352,0.35112314975362946
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020975600773106094,0.0014816933785478125,-1.4101205772974947,-0.02549307311167131,-0.3995168868176196,-0.8189040263666977,-1.1416776942096074,0.0013985834556222126
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016826297992609575,1.5309299425524565,-1.4835277075155426,-0.8904502406666525,0.5947315975965592,-1.0654025031016077,0.00016988861267666096
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020339678520192068,1.5309287053035163,-1.48352804690918,-0.8904497880313345,0.5947285342358024,-1.0654059633453992,0.00020640257531991655
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021039110737437364,1.5308617780444098,-1.4835464059355543,-0.8904253033538977,0.5945628259999981,-1.0655931404164785,0.002182104013476613
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00754645191860146,1.5306701171116202,-1.483598981047204,-0.890355186092572,0.5940882840051647,-1.066129163145016,0.007839942525049071
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007672050281865195,1.530665694122405,-1.483600194331249,-0.890353567985605,0.5940773329255954,-1.0661415330250583,0.007970504613095092
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033409553894745755,1.5308182151067649,-1.4835583558216219,-0.8904093662829542,0.5944549665472135,-1.065714973929233,0.003468086303217867
